season,month,home_team,home_score,away_score,away_team,home_budget,away_budget,stadium_capacity,is_international_window,score_diff,home_win
2015,0,Bayonne,15,29,Toulon,2,3,16900,0,-14,0
2015,0,Clermont,30,26,Grenoble,3,1,19000,0,4,1
2015,0,Bordeaux,18,9,Lyon,3,3,33000,0,9,1
2015,0,Brive,37,15,La Rochelle,1,3,13900,0,22,1
2015,0,Castres,22,25,Paris,2,3,12500,0,-3,0
2015,0,Toulouse,20,19,Oyonnax,3,1,19000,0,1,1
2015,0,Montpellier,16,19,Racing 92,3,3,15600,0,-3,0
2015,0,Toulouse,35,6,Castres,3,2,19000,0,29,1
2015,0,Brive,6,21,Clermont,1,3,13900,0,-15,0
2015,0,Bayonne,38,12,Oyonnax,2,1,16900,0,26,1
2015,0,Bordeaux,30,21,Racing 92,3,3,33000,0,9,1
2015,0,Montpellier,20,17,Grenoble,3,1,15600,0,3,1
2015,0,Toulon,60,19,La Rochelle,3,3,18000,0,41,1
2015,0,Paris,23,20,Lyon,3,3,20000,0,3,1
2015,0,Clermont,20,21,Montpellier,3,3,19000,0,-1,0
2015,0,La Rochelle,37,25,Toulouse,3,3,16000,0,12,1
2015,0,Castres,30,6,Bayonne,2,2,12500,0,24,1
2015,0,Grenoble,37,23,Bordeaux,1,3,20000,0,14,1
2015,0,Lyon,24,6,Brive,3,1,25000,0,18,1
2015,0,Oyonnax,33,6,Paris,1,3,11400,0,27,1
2015,0,Racing 92,17,10,Toulon,3,3,30000,0,7,1
2015,0,Montpellier,43,10,Castres,3,2,15600,0,33,1
2015,0,Brive,26,19,Toulouse,1,3,13900,0,7,1
2015,0,Clermont,32,6,Racing 92,3,3,19000,0,26,1
2015,0,Grenoble,30,12,La Rochelle,1,3,20000,0,18,1
2015,0,Lyon,26,23,Oyonnax,3,1,25000,0,3,1
2015,0,Paris,34,29,Bayonne,3,2,20000,0,5,1
2015,0,Toulon,18,13,Bordeaux,3,3,18000,0,5,1
2015,0,La Rochelle,41,16,Castres,3,2,16000,0,25,1
2015,0,Toulouse,9,13,Clermont,3,3,19000,0,-4,0
2015,0,Bayonne,23,6,Brive,2,1,16900,0,17,1
2015,0,Oyonnax,40,27,Grenoble,1,1,11400,0,13,1
2015,0,Racing 92,28,11,Lyon,3,3,30000,0,17,1
2015,0,Toulon,24,28,Paris,3,3,18000,0,-4,0
2015,0,Bordeaux,27,21,Montpellier,3,3,33000,0,6,1
2015,0,Brive,13,53,Toulon,1,3,13900,0,-40,0
2015,0,Racing 92,27,16,Toulouse,3,3,30000,0,11,1
2015,0,Castres,27,18,Oyonnax,2,1,12500,0,9,1
2015,0,Clermont,43,12,Lyon,3,3,19000,0,31,1
2015,0,Grenoble,24,15,Bayonne,1,2,20000,0,9,1
2015,0,La Rochelle,26,29,Bordeaux,3,3,16000,0,-3,0
2015,0,Montpellier,23,3,Paris,3,3,15600,0,20,1
2015,0,Bayonne,35,19,Toulouse,2,3,16900,0,16,1
2015,0,Toulon,40,17,Montpellier,3,3,18000,0,23,1
2015,0,Brive,34,24,Bordeaux,1,3,13900,0,10,1
2015,0,Grenoble,27,25,Racing 92,1,3,20000,0,2,1
2015,0,Lyon,28,18,Castres,3,2,25000,0,10,1
2015,0,Paris,43,10,La Rochelle,3,3,20000,0,33,1
2015,0,Oyonnax,8,19,Clermont,1,3,11400,0,-11,0
2015,0,Oyonnax,18,21,Toulon,1,3,11400,0,-3,0
2015,0,Bordeaux,51,21,Clermont,3,3,33000,0,30,1
2015,0,Bayonne,10,15,Montpellier,2,3,16900,0,-5,0
2015,0,Castres,51,10,Grenoble,2,1,12500,0,41,1
2015,0,La Rochelle,29,10,Lyon,3,3,16000,0,19,1
2015,0,Racing 92,46,32,Brive,3,1,30000,0,14,1
2015,0,Toulouse,22,10,Paris,3,3,19000,0,12,1
2015,0,Grenoble,26,25,Brive,1,1,20000,0,1,1
2015,0,Bordeaux,59,7,Castres,3,2,33000,0,52,1
2015,0,Clermont,30,10,La Rochelle,3,3,19000,0,20,1
2015,0,Lyon,24,19,Bayonne,3,2,25000,0,5,1
2015,0,Montpellier,25,9,Oyonnax,3,1,15600,0,16,1
2015,0,Paris,23,19,Racing 92,3,3,20000,0,4,1
2015,0,Toulouse,21,10,Toulon,3,3,19000,0,11,1
2015,0,Lyon,17,41,Toulouse,3,3,25000,0,-24,0
2015,0,Brive,21,15,Castres,1,2,13900,0,6,1
2015,0,La Rochelle,21,15,Montpellier,3,3,16000,0,6,1
2015,0,Paris,39,22,Bordeaux,3,3,20000,0,17,1
2015,0,Racing 92,17,21,Oyonnax,3,1,30000,0,-4,0
2015,0,Bayonne,24,13,Clermont,2,3,16900,0,11,1
2015,0,Toulon,61,28,Grenoble,3,1,18000,0,33,1
2015,0,Montpellier,10,25,Brive,3,1,15600,0,-15,0
2015,0,Castres,22,14,Toulon,2,3,12500,0,8,1
2015,0,Clermont,51,9,Paris,3,3,19000,0,42,1
2015,0,Grenoble,34,30,Lyon,1,3,20000,0,4,1
2015,0,Oyonnax,37,9,La Rochelle,1,3,11400,0,28,1
2015,0,Racing 92,27,10,Bayonne,3,2,30000,0,17,1
2015,0,Bordeaux,20,21,Toulouse,3,3,33000,0,-1,0
2015,0,Toulon,27,19,Clermont,3,3,18000,0,8,1
2015,0,Castres,9,14,Racing 92,2,3,12500,0,-5,0
2015,0,La Rochelle,19,19,Bayonne,3,2,16000,0,0,0
2015,0,Lyon,23,20,Montpellier,3,3,25000,0,3,1
2015,0,Oyonnax,28,23,Bordeaux,1,3,11400,0,5,1
2015,0,Toulouse,22,25,Grenoble,3,1,19000,0,-3,0
2015,0,Paris,20,17,Brive,3,1,20000,0,3,1
2015,0,Grenoble,30,43,Paris,1,3,20000,0,-13,0
2015,0,Montpellier,23,20,Toulouse,3,3,15600,0,3,1
2015,0,Bayonne,15,12,Bordeaux,2,3,16900,0,3,1
2015,0,Brive,19,6,Oyonnax,1,1,13900,0,13,1
2015,0,Racing 92,27,8,La Rochelle,3,3,30000,0,19,1
2015,0,Toulon,30,6,Lyon,3,3,18000,0,24,1
2015,0,Clermont,19,10,Castres,3,2,19000,0,9,1
2015,0,Toulouse,15,9,Racing 92,3,3,19000,0,6,1
2015,0,Bordeaux,46,10,Brive,3,1,33000,0,36,1
2015,0,Castres,27,9,Montpellier,2,3,12500,0,18,1
2015,0,La Rochelle,19,15,Grenoble,3,1,16000,0,4,1
2015,0,Oyonnax,12,9,Bayonne,1,2,11400,0,3,1
2015,0,Lyon,16,13,Clermont,3,3,25000,0,3,1
2015,0,Paris,30,6,Toulon,3,3,20000,0,24,1
