season,home_team,home_score,away_score,away_team
2015,Bayonne,15,29,Toulon
2015,Clermont,30,26,Grenoble
2015,Bordeaux,18,9,Lyon
2015,Brive,37,15,La Rochelle
2015,Castres,22,25,Paris
2015,Toulouse,20,19,Oyonnax
2015,Montpellier,16,19,Racing 92
2015,Toulouse,35,6,Castres
2015,Brive,6,21,Clermont
2015,Bayonne,38,12,Oyonnax
2015,Bordeaux,30,21,Racing 92
2015,Montpellier,20,17,Grenoble
2015,Toulon,60,19,La Rochelle
2015,Paris,23,20,Lyon
2015,Clermont,20,21,Montpellier
2015,La Rochelle,37,25,Toulouse
2015,Castres,30,6,Bayonne
2015,Grenoble,37,23,Bordeaux
2015,Lyon,24,6,Brive
2015,Oyonnax,33,6,Paris
2015,Racing 92,17,10,Toulon
2015,Montpellier,43,10,Castres
2015,Brive,26,19,Toulouse
2015,Clermont,32,6,Racing 92
2015,Grenoble,30,12,La Rochelle
2015,Lyon,26,23,Oyonnax
2015,Paris,34,29,Bayonne
2015,Toulon,18,13,Bordeaux
2015,La Rochelle,41,16,Castres
2015,Toulouse,9,13,Clermont
2015,Bayonne,23,6,Brive
2015,Oyonnax,40,27,Grenoble
2015,Racing 92,28,11,Lyon
2015,Toulon,24,28,Paris
2015,Bordeaux,27,21,Montpellier
2015,Brive,13,53,Toulon
2015,Racing 92,27,16,Toulouse
2015,Castres,27,18,Oyonnax
2015,Clermont,43,12,Lyon
2015,Grenoble,24,15,Bayonne
2015,La Rochelle,26,29,Bordeaux
2015,Montpellier,23,3,Paris
2015,Bayonne,35,19,Toulouse
2015,Toulon,40,17,Montpellier
2015,Brive,34,24,Bordeaux
2015,Grenoble,27,25,Racing 92
2015,Lyon,28,18,Castres
2015,Paris,43,10,La Rochelle
2015,Oyonnax,8,19,Clermont
2015,Oyonnax,18,21,Toulon
2015,Bordeaux,51,21,Clermont
2015,Bayonne,10,15,Montpellier
2015,Castres,51,10,Grenoble
2015,La Rochelle,29,10,Lyon
2015,Racing 92,46,32,Brive
2015,Toulouse,22,10,Paris
2015,Grenoble,26,25,Brive
2015,Bordeaux,59,7,Castres
2015,Clermont,30,10,La Rochelle
2015,Lyon,24,19,Bayonne
2015,Montpellier,25,9,Oyonnax
2015,Paris,23,19,Racing 92
2015,Toulouse,21,10,Toulon
2015,Lyon,17,41,Toulouse
2015,Brive,21,15,Castres
2015,La Rochelle,21,15,Montpellier
2015,Paris,39,22,Bordeaux
2015,Racing 92,17,21,Oyonnax
2015,Bayonne,24,13,Clermont
2015,Toulon,61,28,Grenoble
2015,Montpellier,10,25,Brive
2015,Castres,22,14,Toulon
2015,Clermont,51,9,Paris
2015,Grenoble,34,30,Lyon
2015,Oyonnax,37,9,La Rochelle
2015,Racing 92,27,10,Bayonne
2015,Bordeaux,20,21,Toulouse
2015,Toulon,27,19,Clermont
2015,Castres,9,14,Racing 92
2015,La Rochelle,19,19,Bayonne
2015,Lyon,23,20,Montpellier
2015,Oyonnax,28,23,Bordeaux
2015,Toulouse,22,25,Grenoble
2015,Paris,20,17,Brive
2015,Grenoble,30,43,Paris
2015,Montpellier,23,20,Toulouse
2015,Bayonne,15,12,Bordeaux
2015,Brive,19,6,Oyonnax
2015,Racing 92,27,8,La Rochelle
2015,Toulon,30,6,Lyon
2015,Clermont,19,10,Castres
2015,Toulouse,15,9,Racing 92
2015,Bordeaux,46,10,Brive
2015,Castres,27,9,Montpellier
2015,La Rochelle,19,15,Grenoble
2015,Oyonnax,12,9,Bayonne
2015,Lyon,16,13,Clermont
2015,Paris,30,6,Toulon
2015,Lyon,12,9,Paris
2015,Racing 92,12,9,Bordeaux
2015,Brive,25,9,Bayonne
2015,Castres,30,15,La Rochelle
2015,Grenoble,33,19,Oyonnax
2015,Montpellier,16,12,Toulon
2015,Clermont,24,6,Toulouse
2015,Paris,49,13,Castres
2015,Toulon,32,23,Racing 92
2015,Bayonne,23,22,Lyon
2015,Bordeaux,34,16,Grenoble
2015,Oyonnax,20,13,Montpellier
2015,Toulouse,29,26,La Rochelle
2015,Clermont,44,20,Brive
2015,Toulon,24,17,Bayonne
2015,Montpellier,34,24,Bordeaux
2015,Brive,23,0,Grenoble
2015,La Rochelle,16,12,Clermont
2015,Lyon,11,13,Racing 92
2015,Paris,13,15,Oyonnax
2015,Castres,9,13,Toulouse
2015,La Rochelle,19,12,Brive
2015,Bordeaux,28,23,Toulon
2015,Bayonne,23,6,Paris
2015,Grenoble,20,18,Montpellier
2015,Oyonnax,23,13,Castres
2015,Toulouse,23,20,Lyon
2015,Racing 92,13,13,Clermont
2015,Oyonnax,9,3,Toulouse
2015,Bordeaux,22,23,Paris
2015,Castres,23,20,Lyon
2015,Clermont,28,16,Bayonne
2015,Montpellier,15,15,La Rochelle
2015,Racing 92,34,29,Grenoble
2015,Toulon,34,11,Brive
2015,Clermont,31,23,Bordeaux
2015,Toulouse,18,13,Montpellier
2015,Bayonne,21,19,Castres
2015,Brive,36,12,Racing 92
2015,La Rochelle,35,20,Oyonnax
2015,Paris,21,30,Grenoble
2015,Lyon,14,22,Toulon
2015,Bayonne,6,12,Racing 92
2015,Paris,40,26,Clermont
2015,Bordeaux,21,22,La Rochelle
2015,Montpellier,45,17,Lyon
2015,Oyonnax,24,3,Brive
2015,Toulon,24,34,Toulouse
2015,Grenoble,12,16,Castres
2015,La Rochelle,19,19,Paris
2015,Racing 92,24,24,Montpellier
2015,Brive,22,20,Lyon
2015,Clermont,10,11,Oyonnax
2015,Toulouse,20,17,Bayonne
2015,Grenoble,24,35,Toulon
2015,Castres,22,20,Bordeaux
2015,Paris,12,21,Toulouse
2015,La Rochelle,32,29,Toulon
2015,Bayonne,42,33,Grenoble
2015,Brive,15,10,Montpellier
2015,Lyon,22,37,Bordeaux
2015,Oyonnax,21,16,Racing 92
2015,Castres,31,10,Clermont
2015,Toulon,37,21,Castres
2015,Bordeaux,26,23,Oyonnax
2015,Lyon,16,16,La Rochelle
2015,Montpellier,33,16,Bayonne
2015,Toulouse,67,19,Brive
2015,Grenoble,17,37,Clermont
2015,Racing 92,19,28,Paris
2015,Oyonnax,28,10,Lyon
2015,Grenoble,32,11,Toulouse
2015,Bordeaux,38,20,Bayonne
2015,Castres,32,12,Brive
2015,La Rochelle,18,18,Racing 92
2015,Paris,35,21,Montpellier
2015,Clermont,22,19,Toulon
2015,Bayonne,45,12,La Rochelle
2015,Brive,27,0,Paris
2015,Lyon,29,24,Grenoble
2015,Montpellier,17,29,Clermont
2015,Racing 92,53,10,Castres
2015,Toulon,46,17,Oyonnax
2015,Toulouse,23,22,Bordeaux
2015,Paris,38,15,Racing 92
2015,Toulouse,20,19,Oyonnax
2015,Toulon,16,33,Paris
2015,Clermont,18,14,Toulouse
2015,Clermont,6,12,Paris
2016,Toulon,22,27,Racing 92
2016,La Rochelle,6,44,Clermont
2016,Toulouse,24,7,Brive
2016,Montpellier,35,19,Oyonnax
2016,Grenoble,38,23,Agen
2016,Bordeaux,19,16,Castres
2016,Paris,34,18,Pau
2016,Clermont,25,6,Grenoble
2016,Agen,9,20,Toulouse
2016,Racing 92,20,19,La Rochelle
2016,Oyonnax,37,19,Bordeaux
2016,Pau,26,16,Montpellier
2016,Brive,22,13,Paris
2016,Castres,24,9,Toulon
2016,Oyonnax,24,41,Clermont
2016,La Rochelle,21,18,Brive
2016,Grenoble,41,15,Pau
2016,Agen,30,18,Racing 92
2016,Toulouse,37,20,Castres
2016,Bordeaux,22,24,Montpellier
2016,Paris,13,20,Toulon
2016,Castres,35,26,Oyonnax
2016,Toulon,45,24,La Rochelle
2016,Racing 92,23,14,Grenoble
2016,Montpellier,44,20,Paris
2016,Clermont,26,26,Bordeaux
2016,Brive,18,12,Agen
2016,Pau,9,6,Toulouse
2016,Clermont,35,10,Pau
2016,Oyonnax,9,18,Racing 92
2016,Grenoble,19,30,Montpellier
2016,Agen,16,31,Bordeaux
2016,Paris,22,9,Castres
2016,Toulouse,39,22,La Rochelle
2016,Brive,29,26,Toulon
2016,Racing 92,27,18,Paris
2016,Castres,23,31,Grenoble
2016,Pau,13,18,Brive
2016,Toulon,61,3,Oyonnax
2016,Bordeaux,12,10,Toulouse
2016,Montpellier,24,19,Clermont
2016,La Rochelle,23,6,Agen
2016,Bordeaux,21,16,La Rochelle
2016,Oyonnax,42,23,Pau
2016,Agen,28,23,Paris
2016,Racing 92,17,14,Brive
2016,Montpellier,25,33,Toulouse
2016,Clermont,42,13,Castres
2016,Grenoble,33,29,Toulon
2016,Toulon,52,8,Montpellier
2016,La Rochelle,38,3,Oyonnax
2016,Pau,33,31,Agen
2016,Brive,16,3,Bordeaux
2016,Toulouse,52,12,Grenoble
2016,Castres,34,8,Racing 92
2016,Paris,14,9,Clermont
2016,Montpellier,25,20,La Rochelle
2016,Racing 92,28,13,Toulouse
2016,Oyonnax,9,34,Brive
2016,Bordeaux,46,10,Pau
2016,Agen,18,23,Castres
2016,Clermont,9,35,Toulon
2016,Grenoble,19,21,Paris
2016,Pau,15,15,Racing 92
2016,Toulon,53,23,Agen
2016,Castres,34,19,Montpellier
2016,La Rochelle,33,16,Grenoble
2016,Paris,21,24,Bordeaux
2016,Toulouse,27,3,Oyonnax
2016,Brive,21,26,Clermont
2016,Oyonnax,25,12,Paris
2016,Montpellier,45,20,Agen
2016,Pau,15,11,La Rochelle
2016,Castres,23,8,Brive
2016,Bordeaux,25,19,Grenoble
2016,Clermont,16,20,Racing 92
2016,Toulouse,31,8,Toulon
2016,Agen,16,33,Clermont
2016,La Rochelle,25,21,Castres
2016,Grenoble,42,17,Oyonnax
2016,Racing 92,23,18,Bordeaux
2016,Brive,19,18,Montpellier
2016,Toulon,21,17,Pau
2016,Paris,18,17,Toulouse
2016,Bordeaux,15,12,Toulon
2016,Paris,33,20,La Rochelle
2016,Montpellier,60,7,Racing 92
2016,Oyonnax,30,28,Agen
2016,Pau,21,16,Castres
2016,Grenoble,26,22,Brive
2016,Clermont,32,23,Toulouse
2016,Brive,28,6,La Rochelle
2016,Clermont,15,19,Montpellier
2016,Castres,19,9,Bordeaux
2016,Racing 92,26,3,Oyonnax
2016,Agen,27,33,Grenoble
2016,Toulouse,54,3,Pau
2016,Toulon,23,16,Paris
2016,Paris,32,17,Brive
2016,Castres,17,28,Clermont
2016,Montpellier,16,19,Pau
2016,Bordeaux,24,19,Agen
2016,Grenoble,35,39,Racing 92
2016,La Rochelle,28,8,Toulouse
2016,Oyonnax,13,44,Toulon
2016,Toulon,44,15,Brive
2016,Paris,18,33,Grenoble
2016,Agen,31,27,La Rochelle
2016,Clermont,44,16,Oyonnax
2016,Pau,3,15,Bordeaux
2016,Racing 92,9,13,Castres
2016,Toulouse,29,31,Montpellier
2016,Grenoble,12,45,Clermont
2016,Brive,21,21,Toulouse
2016,Racing 92,38,13,Agen
2016,Pau,19,12,Paris
2016,Bordeaux,48,20,Oyonnax
2016,Montpellier,22,19,Castres
2016,La Rochelle,19,14,Toulon
2016,Toulouse,13,13,Bordeaux
2016,Paris,16,34,Racing 92
2016,Clermont,25,6,Brive
2016,La Rochelle,35,16,Pau
2016,Castres,50,6,Agen
2016,Toulon,38,8,Grenoble
2016,Oyonnax,10,31,Montpellier
2016,Racing 92,20,21,Toulon
2016,Brive,23,22,Castres
2016,Grenoble,39,23,La Rochelle
2016,Agen,21,45,Montpellier
2016,Pau,25,6,Oyonnax
2016,Bordeaux,19,24,Clermont
2016,Toulouse,36,3,Paris
2016,Montpellier,19,3,Brive
2016,Castres,15,9,Toulouse
2016,Agen,26,33,Pau
2016,Oyonnax,20,27,Grenoble
2016,La Rochelle,21,18,Paris
2016,Bordeaux,20,28,Racing 92
2016,Toulon,18,19,Clermont
2016,Grenoble,28,33,Castres
2016,Pau,9,25,Toulon
2016,Brive,31,13,Oyonnax
2016,Clermont,38,10,Agen
2016,La Rochelle,22,15,Bordeaux
2016,Paris,20,26,Montpellier
2016,Toulouse,14,3,Racing 92
2016,Toulon,10,12,Toulouse
2016,Montpellier,51,10,Grenoble
2016,Oyonnax,17,16,La Rochelle
2016,Castres,37,6,Pau
2016,Agen,37,19,Brive
2016,Bordeaux,35,25,Paris
2016,Racing 92,26,20,Clermont
2016,Grenoble,14,20,Bordeaux
2016,La Rochelle,36,10,Montpellier
2016,Pau,10,16,Clermont
2016,Paris,69,8,Oyonnax
2016,Brive,33,27,Racing 92
2016,Toulouse,52,19,Agen
2016,Toulon,17,7,Castres
2016,Agen,13,52,Toulon
2016,Racing 92,43,13,Pau
2016,Castres,67,20,La Rochelle
2016,Oyonnax,17,25,Toulouse
2016,Brive,45,24,Grenoble
2016,Montpellier,19,16,Bordeaux
2016,Clermont,36,10,Paris
2016,La Rochelle,14,30,Racing 92
2016,Bordeaux,34,7,Brive
2016,Paris,28,26,Agen
2016,Pau,29,12,Grenoble
2016,Oyonnax,20,25,Castres
2016,Toulouse,22,11,Clermont
2016,Montpellier,36,21,Toulon
2016,Grenoble,14,53,Toulouse
2016,Toulon,44,3,Bordeaux
2016,Brive,46,10,Pau
2016,Clermont,57,8,La Rochelle
2016,Agen,23,19,Oyonnax
2016,Racing 92,40,25,Montpellier
2016,Castres,35,14,Paris
2016,Racing 92,21,16,Toulouse
2016,Montpellier,28,9,Castres
2016,Clermont,33,34,Racing 92
2016,Toulon,27,18,Montpellier
2016,Toulon,21,29,Racing 92
2017,Bordeaux,15,9,Racing 92
2017,Castres,28,11,Pau
2017,La Rochelle,30,30,Clermont
2017,Lyon,15,15,Brive
2017,Paris,54,20,Grenoble
2017,Toulouse,20,12,Montpellier
2017,Bayonne,28,23,Toulon
2017,Pau,18,22,Toulon
2017,Bayonne,12,12,Castres
2017,Brive,28,20,Paris
2017,Grenoble,19,22,La Rochelle
2017,Racing 92,29,16,Lyon
2017,Toulouse,22,17,Bordeaux
2017,Montpellier,22,26,Clermont
2017,Paris,30,30,Clermont
2017,Castres,18,26,La Rochelle
2017,Lyon,32,13,Grenoble
2017,Pau,25,9,Bayonne
2017,Toulon,21,25,Brive
2017,Bordeaux,15,32,Montpellier
2017,Racing 92,28,14,Toulouse
2017,Paris,29,25,Castres
